SET,BigFive,Question Code,Question
1,Agreeableness,AGR10,I make people feel at ease.
1,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
1,Agreeableness,AGR5,I am not interested in other people's problems.
1,Agreeableness,AGR8,I take time out for others.
1,Agreeableness,AGR9,I feel others' emotions.
1,Conscientiousness,CSN1,I am always prepared.
1,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
1,Conscientiousness,CSN3,I pay attention to details.
1,Conscientiousness,CSN7,I like order.
1,Neuroticism,EST10,I often feel blue.
1,Neuroticism,EST5,I am easily disturbed.
1,Neuroticism,EST6,I get upset easily.
1,Neuroticism,EST8,I have frequent mood swings.
1,Extraversion,EXT3,I feel comfortable around people.
1,Extraversion,EXT7,I talk to a lot of different people at parties.
1,Extraversion,EXT8,I don't like to draw attention to myself.
1,Extraversion,EXT9,I don't mind being the center of attention.
1,Openness,OPN2,I have difficulty understanding abstract ideas.
1,Openness,OPN5,I have excellent ideas.
1,Openness,OPN9,I spend time reflecting on things.
2,Agreeableness,AGR1,I feel little concern for others.
2,Agreeableness,AGR10,I make people feel at ease.
2,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
2,Agreeableness,AGR5,I am not interested in other people's problems.
2,Agreeableness,AGR9,I feel others' emotions.
2,Conscientiousness,CSN1,I am always prepared.
2,Conscientiousness,CSN3,I pay attention to details.
2,Conscientiousness,CSN5,I get chores done right away.
2,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
2,Neuroticism,EST10,I often feel blue.
2,Neuroticism,EST6,I get upset easily.
2,Neuroticism,EST8,I have frequent mood swings.
2,Neuroticism,EST9,I have a low tolerance for irritation.
2,Extraversion,EXT3,I feel comfortable around people.
2,Extraversion,EXT6,I have little to say.
2,Extraversion,EXT8,I don't like to draw attention to myself.
2,Extraversion,EXT9,I don't mind being the center of attention.
2,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
2,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
2,Openness,OPN9,I spend time reflecting on things.
3,Agreeableness,AGR10,I make people feel at ease.
3,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
3,Agreeableness,AGR5,I am not interested in other people's problems.
3,Agreeableness,AGR8,I take time out for others.
3,Agreeableness,AGR9,I feel others' emotions.
3,Conscientiousness,CSN10,I am exacting in my work.
3,Conscientiousness,CSN3,I pay attention to details.
3,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
3,Conscientiousness,CSN9,I follow a schedule.
3,Neuroticism,EST2,I am relaxed most of the time.
3,Neuroticism,EST4,I seldom feel blue.
3,Neuroticism,EST5,I am easily disturbed.
3,Neuroticism,EST7,I change my mood a lot.
3,Extraversion,EXT3,I feel comfortable around people.
3,Extraversion,EXT5,I start conversations.
3,Extraversion,EXT7,I talk to a lot of different people at parties.
3,Extraversion,EXT8,I don't like to draw attention to myself.
3,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
3,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
3,Openness,OPN9,I spend time reflecting on things.
4,Agreeableness,AGR1,I feel little concern for others.
4,Agreeableness,AGR10,I make people feel at ease.
4,Agreeableness,AGR2,I am interested in people.
4,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
4,Agreeableness,AGR9,I feel others' emotions.
4,Conscientiousness,CSN1,I am always prepared.
4,Conscientiousness,CSN3,I pay attention to details.
4,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
4,Conscientiousness,CSN7,I like order.
4,Neuroticism,EST10,I often feel blue.
4,Neuroticism,EST3,I worry about things.
4,Neuroticism,EST8,I have frequent mood swings.
4,Neuroticism,EST9,I have a low tolerance for irritation.
4,Extraversion,EXT10,I am quiet around strangers.
4,Extraversion,EXT4,I keep in the background.
4,Extraversion,EXT5,I start conversations.
4,Extraversion,EXT8,I don't like to draw attention to myself.
4,Openness,OPN1,I have a rich vocabulary.
4,Openness,OPN10,I am full of ideas.
4,Openness,OPN9,I spend time reflecting on things.
5,Agreeableness,AGR1,I feel little concern for others.
5,Agreeableness,AGR10,I make people feel at ease.
5,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
5,Agreeableness,AGR5,I am not interested in other people's problems.
5,Conscientiousness,CSN1,I am always prepared.
5,Conscientiousness,CSN10,I am exacting in my work.
5,Conscientiousness,CSN3,I pay attention to details.
5,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
5,Neuroticism,EST4,I seldom feel blue.
5,Neuroticism,EST6,I get upset easily.
5,Neuroticism,EST8,I have frequent mood swings.
5,Neuroticism,EST9,I have a low tolerance for irritation.
5,Extraversion,EXT2,I prefer to listen more than I speak.
5,Extraversion,EXT3,I feel comfortable around people.
5,Extraversion,EXT5,I start conversations.
5,Extraversion,EXT8,I don't like to draw attention to myself.
5,Openness,OPN4,I am not interested in abstract ideas.
5,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
5,Openness,OPN7,I am quick to understand things.
5,Openness,OPN9,I spend time reflecting on things.
6,Agreeableness,AGR10,I make people feel at ease.
6,Agreeableness,AGR2,I am interested in people.
6,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
6,Agreeableness,AGR8,I take time out for others.
6,Agreeableness,AGR9,I feel others' emotions.
6,Conscientiousness,CSN3,I pay attention to details.
6,Conscientiousness,CSN5,I get chores done right away.
